Angebot_ID,Titel,Datum,Summe,Assets,Ausgaben
1,Alfaview-2024-Produktclips Werbespot 2 TN+Dozentin,25.09.2024,22815.0,"2, ±1-2 min",<20%
2,Alfaview Produktfilm,27.08.2023,12612.0,"2, ±1-2 min",wenig (Sprecher + Stock)
3,Bechtle - Bardusch,2023-05-17,9486.0,"1, ±3min",keine externe
4,Chrono24 / Employer Branding Clips 'Budget',2024 v1,16549.0,1x Zusammenfassung 2min  1x Jobprofil 2 min 3x Cutdown 20s,keine externe
5,Dentaurum Kalkulation,04.04.2024,2840.0,rohmaterial,-
6,dm: digitaler Lieferschein,08.03.2023,11870.0,"1, ±1-2min",30% externes Team & Rental
7,Radkampagne / Kalkulation,2024-02-26,15952.0,,
8,Konzept #3,09.07.2024,164091.0,"1, ±2-3 min","<50-60% (viele Beteiligte, großer Materialeinsatz)"
9,Grüne-2024-Mentoring Kalkulation,24.04.2024,,,
10,HWK,,42695.0,"1, ±1-2 min","<50% (viele Beteiligte) ist korrekt berrechnet, war aber ein pro-bono-project"
11,ISN-2024,05.07.2024,20924.68,"1, ±2-3min",geringe Rentalkosten für Licht
12,KIT-2024-Innovators Homecoming,15.12.2023,4193.0,1 clip,-
13,Oventrop 2023,25.08.2023,79421.8,"1, ±3-4 min","40% (viele Beteiligte, großer Materialeinsatz) achtung: alte Preise"
14,Polytec - Produktfilm,26.09.2023,13182.0,,
15,Polytec - Produktfilm,26.09.2023,13182.0,"1, ±1-2 min",<30%
16,Polytec - VibroScan,2024-10-09,50000.0,"6, ±1-2 min",22%
17,Protektor: PLC - Casino Loyal,10.03.2022,174638.0,"1, ±2-3 min","60% (viele Beteiligte, großer Materialeinsatz) achtung: alte Preise"
18,Volksbank Bühl - Kalkulation,2024-10-01,34800.0,,
