Item_ID,Angebot_ID,Gesamt,Gesamtpreis
39,16,10,800.0
33,2,1,928.0
52,12,30,9
8,1,1,880
200,13,,350
16,10,3,900
101,7,,
210,15,1,800.0
80,12,1,100
71,4,0.5,430.0
151,9,0.25,290
196,13,4.5,450
173,11,,140.08
17,1,1,150
124,8,,
53,10,,0
206,15,1,300.0
52,3,20.0,6.0
156,10,3,2784
201,13,,
198,13,24,2400
155,10,2,1500
111,8,4,3712
150,9,2,80
64,4,0.25,220.0
4,1,0.5,464
48,4,1,560.0
1,4,2,1856.0
18,4,1,80.0
112,10,3,2640
9,10,3,1680
217,16,2.5,2320.0
131,8,4,12000
129,8,4,1200
153,9,0.25,290
10,6,1,880
75,11,0.5,464
25,1,0.5,464
136,8,3,360
88,8,4,1200
145,8,,0
107,8,0.5,464
44,7,,"laut AGB, außer TV"
15,13,4.5,1350
35,10,3,2784
12,1,1,750
86,6,1,0
22,1,0.5,320
34,2,1,928.0
6,1,1,750
49,3,1.0,100.0
87,6,1,0
160,10,3,300
52,14,80,24.0
40,2,1,1000.0
147,9,1,1160
48,7,1,560.0
161,10,2,3000
50,10,1,640
106,8,2,1856
149,9,150,45
47,14,0.5,464.0
97,7,1,880.0
65,5,1,90.0
211,16,3,1680.0
221,16,2.5,2320.0
39,2,10,800.0
52,13,1500,450
41,2,,0.0
26,1,1,928
121,8,5,15000
175,12,1,864
118,8,,0
142,8,4,600
2,1,0.25,232
47,16,2,1856.0
63,4,1,150.0
226,18,12.5,14500.0
53,8,1,928
222,17,,1500.0
44,15,,"laut AGB, außer TV"
7,11,2,2320
16,1,1,300
16,11,2,600
207,16,3,600.0
213,16,3,540.0
218,16,2.5,2320.0
102,7,,
18,10,3,240
133,8,4,800
2,13,1.5,1392
1,8,6,5568
47,15,0.5,464.0
65,13,5,450
48,6,1,560
181,13,4,3252
128,8,4,6000
209,15,2,180.0
60,4,1,150.0
45,15,0.25,290.0
15,3,1.0,300.0
114,8,4,3520
44,14,,"laut AGB, außer TV"
7,1,1,1160
64,8,2,1760
9,4,1,560.0
164,11,2,1120
109,8,,
16,8,4,1200
50,11,0.5,320
15,14,1,300.0
8,5,1,880.0
47,8,2,1856
61,4,1,300.0
69,4,0.5,430.0
190,13,,200
134,13,,
219,16,2.5,2320.0
191,13,4.5,450
29,1,1,150
10,1,1,880
1,13,2,1856
35,8,3,2784
226,18,10,11600.0
103,8,2,1500
8,4,1,880.0
1,16,3,2784.0
66,6,,0
45,8,1,1160
78,5,,
216,16,,2000.0
54,3,0.25,232.0
35,11,2.5,2320
30,1,1,700
73,4,1,100.0
44,16,,"laut AGB, außer TV"
68,4,2,1720.0
1,15,1,928.0
113,8,4,2548
3,6,,0
52,5,60,18.0
4,6,1,928
8,13,5,4400
16,13,4.5,1350
143,8,,0
127,8,4,1200
171,15,1,1300.0
53,3,0.5,464.0
18,14,1,80.0
132,8,4,240
8,8,4,3520
32,2,1,928.0
35,2,3,2784.0
205,14,1,880.0
19,4,1,100.0
150,9,1,40
52,6,,
45,16,0.25,290.0
57,4,0.5,1020.0
81,6,0.5,464
148,9,0.5,850
7,10,3,3480
8,10,3,2640
15,5,1,300.0
7,15,1,1160.0
31,2,1,1160.0
70,4,0.25,215.0
7,3,1.0,1160.0
65,7,1,90.0
91,6,0.5,464
199,13,,160
35,3,2.5,2320.0
158,10,3,0
141,8,48,4800
52,11,250,75
187,13,3.5,4550
172,11,,200
16,16,3,900.0
97,10,3,2640
65,6,1,90
45,10,0.5,580
18,6,1,80
1,14,1,928.0
18,13,4.5,360
66,5,,
38,11,2,600
89,6,1,800
204,15,0.25,232.0
36,2,1,928.0
47,7,0.5,464.0
48,8,4,2240
37,2,1,928.0
168,11,,245.6
38,2,1,300.0
19,12,1,100
11,1,1,560
45,4,0.5,580.0
205,15,1,880.0
214,16,,539.0
44,8,,"laut AGB, außer TV"
44,6,,"laut AGB, außer TV"
220,16,2.5,2320.0
43,2,0.5,464.0
16,5,1,300.0
8,11,2,1760
183,13,2,1376
52,15,80,24.0
162,10,0.5,464
9,5,1,560.0
50,12,0.25,160
19,3,1.0,100.0
83,7,0.5,464.0
38,3,1.0,300.0
7,4,1,1160.0
15,12,1,300
29,16,5,750.0
8,3,1.0,880.0
202,13,4,3712
207,14,1,200.0
165,11,,
8,16,3,2640.0
1,10,5,4640
38,8,3,900
82,6,0.5,464
146,8,,0
38,4,1,300.0
15,7,1,300.0
8,14,1,880.0
178,13,1,928
93,7,1,560.0
51,3,1.0,50.0
180,13,5,2800
74,8,0.5,464
182,13,4,2548
15,10,3,900
2,10,3,2784
171,14,1,1300.0
15,8,4,1200
15,6,1,300
207,15,1,200.0
135,8,2,6000
131,13,3,9000
18,3,1.0,80.0
208,15,1,200.0
204,14,0.25,232.0
47,10,1,928
11,15,1,560.0
185,13,0.5,464
52,7,40,12.0
20,1,1,1000
50,3,0.25,160.0
53,11,1,928
7,7,1,1160.0
154,10,0.5,1000
138,8,4,360
139,8,,
188,13,,227.5
159,14,1,200.0
88,6,1,300
170,11,2,160
90,6,0.5,464
15,15,1,300.0
208,16,3,600.0
24,1,8,160
8,6,1,880
176,12,1,250
104,8,1,2920
9,7,1,560.0
18,16,3,240.0
50,14,0.25,160.0
23,1,1,600
18,11,2,160
80,5,1,100.0
174,11,,800
95,7,1,
15,16,3,900.0
98,7,100,0
42,2,0.5,464.0
52,10,40,12
79,5,1,200.0
169,11,,84
192,13,4.5,3600
225,17,,3200.0
16,15,1,300.0
179,13,0.5,464
16,3,1.0,300.0
21,10,3,300
189,13,3,300
92,7,0.25,290.0
197,13,4,460
115,8,4,3520
67,4,1,40.0
134,8,,
144,8,,0
13,1,3,1875
210,14,1,800.0
123,8,,300
44,12,,"laut AGB, außer TV"
16,14,1,300.0
35,15,3,2784.0
3,11,0.5,464
9,14,1,560.0
163,10,1,50
113,10,3,1911
103,16,,0.0
148,9,2,3400
66,10,,0
44,11,,"laut AGB, außer TV"
90,8,,0
35,14,3,2784.0
75,8,1,928
152,9,0.25,290
226,18,2.5,2900.0
35,4,2,1856.0
2,7,0.5,464.0
2,8,3,2784
9,8,4,2240
50,5,0.25,160.0
9,15,1,560.0
35,12,2,1856
226,18,5,5800.0
47,3,0.25,232.0
83,6,0.25,232
195,13,2,1600
7,14,1,1160.0
148,9,1,1700
15,1,1,300
38,15,1,300.0
227,18,0,0.0
122,8,5,2500
66,4,,0.0
58,4,0,0.0
52,16,90,27.0
7,13,5,5800
45,11,0.25,290
161,16,3,4500.0
1,5,0.25,232.0
9,6,1,560
167,13,,0
100,7,1,300.0
194,13,2,920
38,14,1,300.0
74,4,0.25,232.0
84,6,1,0
62,4,1,100.0
7,16,3,3480.0
19,7,1,100.0
55,3,0.5,464.0
1,1,3,2784
65,4,1,90.0
44,3,,"laut AGB, außer TV"
208,14,1,200.0
1,11,2,1856
105,8,3,2784
21,1,1,100
8,7,1,880.0
157,10,3,2100
72,4,1,100.0
193,13,4.5,1350
130,8,,0
18,1,1,80
8,15,1,880.0
117,8,4,3200
35,4,1,928.0
7,6,1,1160
48,3,1.0,560.0
9,16,3,1680.0
120,8,1,4997
159,16,3,600.0
177,13,1,560
53,4,0.5,464.0
5,8,2,1856
204,16,1,928.0
119,8,3,28566
9,11,2,1120
46,3,0.25,232.0
7,8,4,4640
45,3,0.25,290.0
14,1,2,200
184,13,3,1130
18,8,4,320
56,4,0.5,464.0
44,2,,"laut AGB, außer TV"
99,7,1,500.0
159,15,1,200.0
35,6,2,1856
186,13,0.25,232
38,6,1,300
45,14,0.25,290.0
9,1,1,560
137,8,4,360
65,10,3,270
65,12,1,90
140,8,48,960
108,8,1,928
75,10,1,928
1,12,0.5,464
116,8,4,2880
126,8,4,1200
4,11,1,928
50,7,0.25,160.0
212,16,3,1770.0
76,4,1,100.0
206,16,3,900.0
77,4,2,200.0
203,13,6,5568
50,6,0.25,160
167,11,,
38,13,4,1200
44,10,,"laut AGB, außer TV"
59,4,1,300.0
75,4,0.5,464.0
166,11,1,500
38,7,3,900.0
205,16,3,2640.0
223,17,,2560.0
94,7,0.5,464.0
159,10,3,600
9,3,1.0,560.0
5,1,1,928
85,6,1,0
18,15,1,80.0
11,14,1,560.0
125,8,4,3200
50,16,0.75,480.0
15,11,2,600
209,14,2,180.0
110,8,4,2548
50,15,0.25,160.0
96,7,1,880.0
44,4,,"laut AGB, außer TV"
112,8,4,3520
1,3,1.0,928.0
171,11,2,2600
65,11,3,270
110,13,5,3185
27,1,10,800
35,7,2.5,2320.0
1,7,3,2784.0
28,1,4,3712
206,14,1,300.0
19,1,1,100
53,6,1,928
16,7,1,300.0
224,17,,5000.0
3,1,1,928
215,16,4.5,4176.0
