Item_ID,Kostenart_ID
23,4
67,4
58,1
34,1
45,1
56,1
69,1
144,4
158,3
134,3
199,4
210,4
5,1
17,3
82,1
146,4
167,2
201,4
203,1
40,4
29,4
7,1
97,1
172,4
218,1
80,3
100,3
205,1
9,1
75,1
154,1
163,4
165,1
220,1
48,1
35,1
103,1
114,1
187,7
192,3
18,3
72,4
62,3
87,2
207,3
124,5
37,1
105,1
116,1
168,2
182,1
226,1
41,1
140,4
130,3
79,3
184,1
54,1
142,4
27,1
3,1
93,1
127,3
148,1
171,3
190,7
51,4
151,6
131,3
121,2
38,4
84,1
71,1
95,1
106,1
150,1
216,1
227,1
64,4
55,1
31,1
110,1
133,3
153,6
174,4
108,1
66,4
68,1
33,1
44,1
57,1
98,2
112,1
176,4
178,1
198,4
6,1
16,3
136,4
161,3
20,3
134,4
166,2
180,1
74,1
85,1
138,4
10,1
186,7
88,3
193,3
47,1
12,1
91,1
102,1
157,1
191,3
212,1
223,1
61,3
129,3
195,3
120,1
206,3
13,2
25,1
104,1
115,1
225,1
73,4
53,1
29,1
40,1
63,3
119,1
139,4
208,3
22,4
77,4
78,3
89,3
143,4
42,1
24,4
26,1
2,1
81,1
46,1
122,2
145,4
147,1
159,3
170,3
189,7
39,4
200,4
202,1
14,2
4,1
83,1
70,1
94,1
149,1
204,1
213,4
215,1
52,4
32,1
8,1
30,1
43,1
132,3
164,1
173,4
219,1
217,1
86,2
111,1
155,1
177,1
221,1
36,1
59,3
125,3
135,4
160,3
181,1
188,7
214,4
19,3
99,2
113,1
179,1
123,5
137,4
117,1
169,2
183,1
38,1
21,3
185,7
141,4
60,3
126,3
11,1
90,1
101,1
156,1
209,4
211,1
222,1
49,3
128,3
167,7
194,3
152,6
92,1
224,1
50,4
28,1
96,1
107,1
118,1
162,1
196,3
1,1
65,4
76,4
197,4
15,3
109,1
175,1
